collection,zips_incomplete,zips_none,city_none,city_one,zips_city_none,street_none,ac_none,zips_ac_none,city_ac_none,zips_city_ac_none,total,zips_city_street_none,complete_sets
1992_Q2,0,2905202.0,1461147.0,0.0,1461147.0,3711265.0,467299.0,327431.0,276056.0,276056.0,29874373.0,918271.0,23097776.0
1995_Q0,1229454,1487431.0,2022610.0,0.0,1487431.0,5076972.0,884744.0,537850.0,550897.0,537850.0,33945932.0,1487370.0,26598240.0
1996_Q0,1259179,1521192.0,2056870.0,0.0,1521192.0,5171040.0,935953.0,569000.0,581828.0,569000.0,34189903.0,1521152.0,26721903.0
1996_Q1,0,5195360.0,5195360.0,0.0,5195360.0,5194653.0,955010.0,770190.0,770190.0,770190.0,34218752.0,5194653.0,26733404.0
1997_Q1,1259583,1662285.0,1667569.0,0.0,1646713.0,5367448.0,1291068.0,783034.0,783766.0,782084.0,34630715.0,1646713.0,26836036.0
1997_Q3,1283171,1871315.0,1856222.0,0.0,1856222.0,5535788.0,1593245.0,992700.0,991725.0,991725.0,34737798.0,1856222.0,26695583.0
1998_Q1,1291744,2059562.0,2044956.0,0.0,2044956.0,5724789.0,1522921.0,865909.0,864927.0,864927.0,34996369.0,2044956.0,26688340.0
1998_Q3,1329832,2290742.0,2275863.0,0.0,2275863.0,6061139.0,1768229.0,851509.0,850449.0,850449.0,36070875.0,2275863.0,26887868.0
1999_Q1,1341745,2071894.0,2057246.0,0.0,2057246.0,5856821.0,1972250.0,609923.0,608757.0,608757.0,36071839.0,2057246.0,26736811.0
1999_Q3,2937348,1603769.0,2388364.0,0.0,1603762.0,6084177.0,279138.0,7024.0,23075.0,7024.0,36612030.0,1603762.0,27913589.0
2000_Q1,3102177,1972161.0,2315297.0,0.0,1972083.0,6196549.0,257715.0,6297.0,30064.0,6297.0,36670120.0,1972083.0,27861279.0
2000_Q3,3075625,1969581.0,2298545.0,0.0,1969507.0,6139309.0,250502.0,5101.0,24411.0,5101.0,36507298.0,1969507.0,27738829.0
2001_Q1,3021429,1910691.0,2233155.0,0.0,1910666.0,6091425.0,256773.0,4550.0,6806.0,4542.0,36413412.0,1910666.0,27688894.0
2001_Q2,3010723,1816708.0,2136827.0,0.0,1816684.0,5980509.0,254967.0,4061.0,6181.0,4053.0,36263920.0,1816684.0,27644715.0
2001_Q3,1066419,1767190.0,1814490.0,0.0,1767170.0,5741546.0,174985.0,3382.0,3604.0,3374.0,35816449.0,1766932.0,27440935.0
2001_Q4,1157304,1710130.0,1747570.0,0.0,1710109.0,5637315.0,172646.0,3134.0,3294.0,3126.0,35740602.0,1706665.0,27460131.0
2002_Q1,3097989,1687289.0,1687215.0,0.0,1687215.0,5530697.0,168870.0,3014.0,2990.0,2990.0,35579271.0,1678792.0,27414573.0
2002_Q3,3020353,1626256.0,1625842.0,0.0,1625842.0,5353421.0,157687.0,2425.0,2241.0,2241.0,35219780.0,1616572.0,27254836.0
2003_Q1,2952190,1602657.0,1600572.0,0.0,1600572.0,5191840.0,129804.0,2356.0,2000.0,2000.0,34893504.0,1589557.0,27097425.0
2003_Q3,2890816,1123861.0,1121562.0,0.0,1121562.0,4717769.0,125385.0,2251.0,1919.0,1919.0,34064787.0,1109550.0,26736673.0
2004_Q1,2562171,1440419.0,1440420.0,0.0,1440419.0,4794570.0,166825.0,97003.0,97003.0,97003.0,33845067.0,1417017.0,26439947.0
2004_Q3,2578934,1421322.0,1421322.0,0.0,1421322.0,4763634.0,146746.0,92543.0,92543.0,92543.0,33496665.0,1396756.0,26119247.0
2005_Q1,2585377,1564458.0,1564457.0,0.0,1564457.0,4859312.0,246841.0,205540.0,205539.0,205539.0,33296488.0,1539336.0,25805302.0
2005_Q3,2555164,1557399.0,1552176.0,1.0,1552133.0,5324271.0,772403.0,211100.0,205877.0,205834.0,33419698.0,1526684.0,25468622.0
2006_Q1,2342510,1526070.0,1523689.0,0.0,1523554.0,5267761.0,744634.0,208942.0,206561.0,206426.0,32997594.0,1498808.0,25114303.0
2006_Q3,2027631,1924955.0,1843455.0,0.0,1840977.0,5719378.0,773191.0,219501.0,213602.0,213440.0,33508623.0,1809574.0,24725615.0
2007_Q1,1949472,1611258.0,1571268.0,0.0,1569227.0,4928277.0,257822.0,220992.0,219401.0,219380.0,31991441.0,1546177.0,24258356.0
2007_Q3,1893349,1590986.0,1549442.0,0.0,1547642.0,4947193.0,267845.0,225963.0,221447.0,221425.0,31422485.0,1525343.0,23668908.0
2008_Q1,1782844,1524468.0,1483960.0,0.0,1480555.0,4907265.0,272334.0,221134.0,215231.0,215211.0,30928821.0,1464540.0,23160189.0
2008_Q3,1655569,1471592.0,1430886.0,0.0,1427488.0,4857667.0,275861.0,221111.0,214740.0,214727.0,30253832.0,1415672.0,22489861.0
2009_Q1,1593661,1407671.0,1376342.0,0.0,1373281.0,4817046.0,276796.0,221207.0,215117.0,215108.0,29440657.0,1365397.0,21711767.0
2009_Q3,1441097,1367667.0,1341353.0,1.0,1338350.0,4961248.0,291604.0,225685.0,220993.0,220977.0,28840824.0,1331898.0,20979206.0
2010_Q1,1384729,1369950.0,1345631.0,1.0,1342474.0,4804722.0,332126.0,257334.0,252657.0,252624.0,28019802.0,1337430.0,20325948.0
2010_Q3,1352628,1193453.0,1171375.0,1.0,1165534.0,4610239.0,227096.0,148639.0,144022.0,143976.0,27437004.0,1161299.0,19866361.0
2011_Q1,1312899,1192540.0,1188945.0,12.0,1186714.0,4614553.0,263421.0,185727.0,185580.0,185424.0,27064763.0,1183509.0,19495896.0
2011_Q3,1273131,1210663.0,1207157.0,11.0,1205097.0,4610002.0,301840.0,220359.0,220232.0,220084.0,26709613.0,1202222.0,19173065.0
2012_Q1,843620,1031662.0,1026913.0,6.0,1025447.0,4409734.0,252386.0,205801.0,205662.0,205523.0,26142689.0,1024469.0,18823183.0
2012_Q3,850045,1070901.0,1065779.0,5.0,1064223.0,4455820.0,296074.0,253212.0,253095.0,252956.0,26052210.0,1063320.0,18670801.0
2013_Q1,845642,1108420.0,1102386.0,3.0,1100905.0,4466307.0,305943.0,257324.0,257241.0,257084.0,25683384.0,1100023.0,18285965.0
2013_Q3,849865,1122160.0,1117254.0,4.0,1115714.0,4430202.0,314224.0,268058.0,267968.0,267812.0,25255500.0,1114798.0,17920109.0
2014_Q1,854597,1151866.0,1148621.0,4.0,1147249.0,4411946.0,325152.0,278130.0,277956.0,277897.0,24931627.0,1146312.0,17599273.0
2014_Q3,849614,1146981.0,1143930.0,5.0,1142605.0,4335027.0,330122.0,282664.0,282502.0,282448.0,24116086.0,1141651.0,16907370.0
2015_Q1,847453,1120852.0,1117625.0,5.0,1116458.0,4265423.0,327047.0,280809.0,280627.0,280572.0,23599598.0,1115529.0,16464901.0
2015_Q3,839810,1069501.0,1067222.0,5.0,1066055.0,4132897.0,330498.0,287054.0,286880.0,286824.0,22922351.0,1065224.0,16037450.0
2016_Q1,835438,1059719.0,1057439.0,3.0,1056256.0,4086281.0,334186.0,290781.0,290627.0,290574.0,22463256.0,1055448.0,15651615.0
2016_Q3,817277,706482.0,704541.0,0.0,703735.0,3666027.0,116652.0,89812.0,89691.0,89642.0,21462263.0,703065.0,15216980.0
2017_Q1,806938,676285.0,674658.0,0.0,673889.0,3585557.0,111961.0,87081.0,86965.0,86922.0,20916704.0,673200.0,14830430.0
2017_Q3,788091,652741.0,651553.0,0.0,650782.0,3481362.0,109254.0,84083.0,83967.0,83935.0,20009223.0,650162.0,14108357.0
2018_Q1,776911,629949.0,628688.0,0.0,627971.0,3414342.0,119165.0,83463.0,83339.0,83309.0,19434843.0,627382.0,13665651.0
2018_Q3,756983,604086.0,602556.0,0.0,601906.0,3312999.0,118530.0,82474.0,82333.0,82321.0,18632177.0,601496.0,13048855.0
